timestamp,aoa_deg,thickness_m,speed_mps,Cd,Cl,max_disp_m,max_stress_Pa,fea_outbase,notes,L_over_D,pass_disp,pass_stress,PASS,PASS_rank,disp_util_%,stress_util_%,disp_margin_mm,stress_margin_MPa
2025-08-25 12:13:26,12.0,0.0025,69.44,0.0738563,0.262159,0.0001302479681345,12360758.194857037,/case/fea/auto_run_20250825_121323,"gurney=15mm (XY,-Y) + TEref | from simpleFoam.log",3.5495820938288323,True,True,True,0,1.3,1.77,9.87,687.639
2025-08-26 16:35:30,17.0,0.0025,69.44,0.15332,0.504493,0.0003567936360973,31926581.24855869,/case/fea/auto_run_20250826_163527,gurney=6mm | from simpleFoam.log,3.2904578658799206,True,True,True,0,3.57,4.56,9.643,668.073
2025-08-26 16:36:42,18.0,0.0025,69.44,0.137133,0.415707,0.0003469458772353,28761687.121854857,/case/fea/auto_run_20250826_163635,gurney=6mm | from simpleFoam.log,3.0314147579136206,True,True,True,0,3.47,4.11,9.653,671.238
2025-08-25 12:24:35,12.0,0.0025,69.44,0.0659844,0.172226,3.76433519477284e-05,2489629.3382467525,/case/fea/auto_run_20250825_122432,"gurney=10mm downward (XY,-Y) + TEref | from simpleFoam.log",2.610101781593678,True,True,True,0,0.38,0.36,9.962,697.51
2025-08-25 11:51:53,12.0,0.0025,69.44,0.0713642,0.169951,0.0010407986823945,23857592.2721414,/case/fea/auto_run_20250825_115153,"baseline (XY, lift=-Y) | from simpleFoam.log",2.3814601718735515,True,True,True,0,10.41,3.41,8.959,676.142
2025-08-25 11:51:55,12.0,0.0025,69.44,0.0718015,0.170472,1.739141857768508e-05,1506616.4565810736,/case/fea/auto_run_20250825_115155,"gurney=15mm,3mm (XY, lift=-Y) | from simpleFoam.log",2.3742122378728268,True,True,True,0,0.17,0.22,9.983,698.493
2025-08-20 20:58:17,18.0,0.0015,69.44,0.033472,0.0636918,0.0016343580449611,21699146.713513367,/case/fea/auto_run_20250820_205817,from simpleFoam.log,1.9028381930597864,True,True,True,0,16.34,3.1,8.366,678.301
2025-08-20 20:58:28,18.0,0.002,69.44,0.033472,0.0636918,0.000947076896172,15874108.91793656,/case/fea/auto_run_20250820_205828,from simpleFoam.log,1.9028381930597864,True,True,True,0,9.47,2.27,9.053,684.126
2025-08-20 20:58:32,18.0,0.0025,69.44,0.033472,0.0636918,0.0006140627276207,12322667.58099199,/case/fea/auto_run_20250820_205831,from simpleFoam.log,1.9028381930597864,True,True,True,0,6.14,1.76,9.386,687.677
2025-08-20 20:58:43,18.0,0.003,69.44,0.033472,0.0636918,0.0004286755240371,9948048.67025162,/case/fea/auto_run_20250820_205842,from simpleFoam.log,1.9028381930597864,True,True,True,0,4.29,1.42,9.571,690.052
2025-08-20 20:58:16,17.0,0.0015,69.44,0.0338443,0.0602993,0.0015750614535953,20935316.648243416,/case/fea/auto_run_20250820_205816,from simpleFoam.log,1.7816678140253552,True,True,True,0,15.75,2.99,8.425,679.065
2025-08-20 20:58:27,17.0,0.002,69.44,0.0338443,0.0602993,0.0009125577108066,15315906.599582149,/case/fea/auto_run_20250820_205827,from simpleFoam.log,1.7816678140253552,True,True,True,0,9.13,2.19,9.087,684.684
2025-08-20 20:58:30,17.0,0.0025,69.44,0.0338443,0.0602993,0.0005915859413661,11889930.270448351,/case/fea/auto_run_20250820_205830,from simpleFoam.log,1.7816678140253552,True,True,True,0,5.92,1.7,9.408,688.11
2025-08-20 20:58:41,17.0,0.003,69.44,0.0338443,0.0602993,0.000412921048494,9599220.4897129,/case/fea/auto_run_20250820_205841,from simpleFoam.log,1.7816678140253552,True,True,True,0,4.13,1.37,9.587,690.401
2025-08-20 20:47:08,16.0,0.0025,69.44,0.0342121,0.0570893,0.0005703699995506,11481648.390142243,/case/fea/auto_run_20250820_204707,from simpleFoam.log,1.6686873941772447,True,True,True,0,5.7,1.64,9.43,688.518
2025-08-20 20:58:14,16.0,0.0015,69.44,0.0342121,0.0570893,0.0015190950120503,20214625.8554833,/case/fea/auto_run_20250820_205814,from simpleFoam.log,1.6686873941772447,True,True,True,0,15.19,2.89,8.481,679.785
2025-08-20 20:58:25,16.0,0.002,69.44,0.0342121,0.0570893,0.0008799757028859,14789245.388823695,/case/fea/auto_run_20250820_205825,from simpleFoam.log,1.6686873941772447,True,True,True,0,8.8,2.11,9.12,685.211
2025-08-20 20:58:39,16.0,0.003,69.44,0.0342121,0.0570893,0.0003980502003489,9270113.774632432,/case/fea/auto_run_20250820_205839,from simpleFoam.log,1.6686873941772447,True,True,True,0,3.98,1.32,9.602,690.73
2025-08-20 20:47:06,15.0,0.0025,69.44,0.0345735,0.0540141,0.0005501515986326,11092856.938228402,/case/fea/auto_run_20250820_204706,from simpleFoam.log,1.5622977135215614,True,True,True,0,5.5,1.58,9.45,688.907
2025-08-20 20:58:13,15.0,0.0015,69.44,0.0345735,0.0540141,0.0014657697006508,19528325.49566708,/case/fea/auto_run_20250820_205812,from simpleFoam.log,1.5622977135215614,True,True,True,0,14.66,2.79,8.534,680.472
2025-08-20 20:58:24,15.0,0.002,69.44,0.0345735,0.0540141,0.000848928664123,14287714.306832042,/case/fea/auto_run_20250820_205824,from simpleFoam.log,1.5622977135215614,True,True,True,0,8.49,2.04,9.151,685.712
2025-08-20 20:58:38,15.0,0.003,69.44,0.0345735,0.0540141,0.0003838771783203,8956722.534321412,/case/fea/auto_run_20250820_205838,from simpleFoam.log,1.5622977135215614,True,True,True,0,3.84,1.28,9.616,691.043
2025-08-20 20:47:04,14.0,0.0025,69.44,0.0349232,0.0510296,0.0005304668195096,10714378.546263522,/case/fea/auto_run_20250820_204704,from simpleFoam.log,1.4611948503727838,True,True,True,0,5.3,1.53,9.47,689.286
2025-08-20 20:58:11,14.0,0.0015,69.44,0.0349232,0.0510296,0.0014138544573364,18860234.079216488,/case/fea/auto_run_20250820_205811,from simpleFoam.log,1.4611948503727838,True,True,True,0,14.14,2.69,8.586,681.14
2025-08-20 20:58:22,14.0,0.002,69.44,0.0349232,0.0510296,0.0008187016616916,13799484.480301574,/case/fea/auto_run_20250820_205822,from simpleFoam.log,1.4611948503727838,True,True,True,0,8.19,1.97,9.181,686.201
2025-08-20 20:58:36,14.0,0.003,69.44,0.0349232,0.0510296,0.000370077870602,8651643.52172372,/case/fea/auto_run_20250820_205836,from simpleFoam.log,1.4611948503727838,True,True,True,0,3.7,1.24,9.63,691.348
2025-08-20 20:47:03,13.0,0.0025,69.44,0.0352596,0.0481143,0.0005112874661152,10345651.51148027,/case/fea/auto_run_20250820_204703,from simpleFoam.log,1.3645730524065907,True,True,True,0,5.11,1.48,9.489,689.654
2025-08-20 20:58:09,13.0,0.0015,69.44,0.0352596,0.0481143,0.0013632762895878,18209367.75361267,/case/fea/auto_run_20250820_205809,from simpleFoam.log,1.3645730524065907,True,True,True,0,13.63,2.6,8.637,681.791
2025-08-20 20:58:21,13.0,0.002,69.44,0.0352596,0.0481143,0.0007892523009326,13323850.13743156,/case/fea/auto_run_20250820_205820,from simpleFoam.log,1.3645730524065907,True,True,True,0,7.89,1.9,9.211,686.676
2025-08-20 20:58:35,13.0,0.003,69.44,0.0352596,0.0481143,0.0003566321801998,8354422.895309466,/case/fea/auto_run_20250820_205835,from simpleFoam.log,1.3645730524065907,True,True,True,0,3.57,1.19,9.643,691.646
2025-08-19 13:28:37,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113,9981825.298008025,/case/fea/auto_run_20250819_132837,from simpleFoam.log,1.2718491621952346,True,True,True,0,4.92,1.43,9.508,690.018
2025-08-19 15:12:35,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113,9981825.298008025,/case/fea/auto_run_20250819_151235,config-stamp | from simpleFoam.log,1.2718491621952346,True,True,True,0,4.92,1.43,9.508,690.018
2025-08-19 15:27:12,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113,9981825.298008025,/case/fea/auto_run_20250819_152712,config-auto | from simpleFoam.log,1.2718491621952346,True,True,True,0,4.92,1.43,9.508,690.018
2025-08-19 15:42:17,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113,9981825.298008025,/case/fea/auto_run_20250819_154217,sanity-after-patch | from simpleFoam.log,1.2718491621952346,True,True,True,0,4.92,1.43,9.508,690.018
2025-08-20 20:58:08,12.0,0.0015,69.44,0.0355826,0.0452557,0.0013133781370083,17567156.49303922,/case/fea/auto_run_20250820_205808,from simpleFoam.log,1.2718491621952346,True,True,True,0,13.13,2.51,8.687,682.433
2025-08-20 20:58:19,12.0,0.002,69.44,0.0355826,0.0452557,0.0007602002464034,12854536.601637335,/case/fea/auto_run_20250820_205819,from simpleFoam.log,1.2718491621952346,True,True,True,0,7.6,1.84,9.24,687.145
2025-08-20 20:58:33,12.0,0.003,69.44,0.0355826,0.0452557,0.0003433696917784,8061149.443305898,/case/fea/auto_run_20250820_205833,from simpleFoam.log,1.2718491621952346,True,True,True,0,3.43,1.15,9.657,691.939
2025-08-25 09:23:41,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113,9981825.298008025,/case/fea/auto_run_20250825_092341,gurney=0mm | from simpleFoam.log,1.2718491621952346,True,True,True,0,4.92,1.43,9.508,690.018
2025-08-25 09:23:43,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113,9981825.298008025,/case/fea/auto_run_20250825_092343,gurney=5mm | from simpleFoam.log,1.2718491621952346,True,True,True,0,4.92,1.43,9.508,690.018
2025-08-25 09:23:45,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113,9981825.298008025,/case/fea/auto_run_20250825_092344,gurney=10mm | from simpleFoam.log,1.2718491621952346,True,True,True,0,4.92,1.43,9.508,690.018
2025-08-20 20:47:01,11.0,0.0025,69.44,0.0358965,0.0424504,0.0004738212007628,9625127.247615589,/case/fea/auto_run_20250820_204701,from simpleFoam.log,1.1825776885996524,True,True,True,0,4.74,1.38,9.526,690.375
2025-08-20 20:47:00,10.0,0.0025,69.44,0.0362006,0.0396861,0.0004554246853966,9271202.904901551,/case/fea/auto_run_20250820_204659,from simpleFoam.log,1.096282934506713,True,True,True,0,4.55,1.32,9.545,690.729
2025-08-19 13:08:15,9.0,0.0025,69.44,0.0364894,0.0369534,0.0004372164844863,8920894.27521249,/case/fea/auto_run_20250819_130815,from simpleFoam.log,1.0127160216114073,True,True,True,0,4.37,1.27,9.563,691.079
2025-08-19 13:29:58,9.0,0.002,69.44,0.0364894,0.0369534,0.0006755135611662,11486038.807183268,/case/fea/auto_run_20250819_132958,from simpleFoam.log,1.0127160216114073,True,True,True,0,6.76,1.64,9.324,688.514
2025-08-19 13:29:59,9.0,0.0025,69.44,0.0364894,0.0369534,0.0004372164844863,8920894.27521249,/case/fea/auto_run_20250819_132959,from simpleFoam.log,1.0127160216114073,True,True,True,0,4.37,1.27,9.563,691.079
2025-08-19 13:30:01,9.0,0.003,69.44,0.0364894,0.0369534,0.0003047063146739,7205914.474401496,/case/fea/auto_run_20250819_133001,from simpleFoam.log,1.0127160216114073,True,True,True,0,3.05,1.03,9.695,692.794
2025-08-19 13:33:50,9.0,0.002,69.44,0.0364894,0.0369534,0.0006755135611662,11486038.807183268,/case/fea/auto_run_20250819_133349,from simpleFoam.log,1.0127160216114073,True,True,True,0,6.76,1.64,9.324,688.514
2025-08-19 13:33:51,9.0,0.0025,69.44,0.0364894,0.0369534,0.0004372164844863,8920894.27521249,/case/fea/auto_run_20250819_133351,from simpleFoam.log,1.0127160216114073,True,True,True,0,4.37,1.27,9.563,691.079
2025-08-19 13:33:53,9.0,0.003,69.44,0.0364894,0.0369534,0.0003047063146739,7205914.474401496,/case/fea/auto_run_20250819_133352,from simpleFoam.log,1.0127160216114073,True,True,True,0,3.05,1.03,9.695,692.794
2025-08-19 13:45:47,9.0,0.002,69.44,0.0364894,0.0369534,0.0006755135611662,11486038.807183268,/case/fea/auto_run_20250819_134547,from simpleFoam.log,1.0127160216114073,True,True,True,0,6.76,1.64,9.324,688.514
2025-08-19 13:45:48,9.0,0.0025,69.44,0.0364894,0.0369534,0.0004372164844863,8920894.27521249,/case/fea/auto_run_20250819_134548,from simpleFoam.log,1.0127160216114073,True,True,True,0,4.37,1.27,9.563,691.079
2025-08-19 13:45:50,9.0,0.003,69.44,0.0364894,0.0369534,0.0003047063146739,7205914.474401496,/case/fea/auto_run_20250819_134550,from simpleFoam.log,1.0127160216114073,True,True,True,0,3.05,1.03,9.695,692.794
2025-08-20 20:46:58,8.0,0.0025,69.44,0.0367621,0.0342451,0.0004190927914059,8572076.81428538,/case/fea/auto_run_20250820_204658,from simpleFoam.log,0.9315327470157708,True,True,True,0,4.19,1.22,9.581,691.428
2025-08-20 20:46:57,7.0,0.0025,69.44,0.0370192,0.0315613,0.0004010597157923,8224860.039557694,/case/fea/auto_run_20250820_204656,from simpleFoam.log,0.8525656956159894,True,True,True,0,4.01,1.17,9.599,691.775
2025-08-19 13:05:03,6.0,0.0025,69.44,0.0372583,0.0288913,0.000383076838511,7878537.31266699,/case/fea/auto_run_20250819_130503,from simpleFoam.log,0.7754325881541715,True,True,True,0,3.83,1.13,9.617,692.121
2025-08-19 13:29:54,6.0,0.002,69.44,0.0372583,0.0288913,0.0005923770870562,10141579.013929192,/case/fea/auto_run_20250819_132953,from simpleFoam.log,0.7754325881541715,True,True,True,0,5.92,1.45,9.408,689.858
2025-08-19 13:29:55,6.0,0.0025,69.44,0.0372583,0.0288913,0.000383076838511,7878537.31266699,/case/fea/auto_run_20250819_132955,from simpleFoam.log,0.7754325881541715,True,True,True,0,3.83,1.13,9.617,692.121
2025-08-19 13:29:56,6.0,0.003,69.44,0.0372583,0.0288913,0.000266753611225,6365598.883633985,/case/fea/auto_run_20250819_132956,from simpleFoam.log,0.7754325881541715,True,True,True,0,2.67,0.91,9.733,693.634
2025-08-19 13:33:45,6.0,0.002,69.44,0.0372583,0.0288913,0.0005923770870562,10141579.013929192,/case/fea/auto_run_20250819_133345,from simpleFoam.log,0.7754325881541715,True,True,True,0,5.92,1.45,9.408,689.858
2025-08-19 13:33:47,6.0,0.0025,69.44,0.0372583,0.0288913,0.000383076838511,7878537.31266699,/case/fea/auto_run_20250819_133347,from simpleFoam.log,0.7754325881541715,True,True,True,0,3.83,1.13,9.617,692.121
2025-08-19 13:33:48,6.0,0.003,69.44,0.0372583,0.0288913,0.000266753611225,6365598.883633985,/case/fea/auto_run_20250819_133348,from simpleFoam.log,0.7754325881541715,True,True,True,0,2.67,0.91,9.733,693.634
2025-08-19 13:41:13,6.0,0.003,69.44,0.0372583,0.0288913,0.000266753611225,6365598.883633985,/case/fea/auto_run_20250819_134113,from simpleFoam.log,0.7754325881541715,True,True,True,0,2.67,0.91,9.733,693.634
2025-08-19 13:45:42,6.0,0.002,69.44,0.0372583,0.0288913,0.0005923770870562,10141579.013929192,/case/fea/auto_run_20250819_134542,from simpleFoam.log,0.7754325881541715,True,True,True,0,5.92,1.45,9.408,689.858
2025-08-19 13:45:44,6.0,0.0025,69.44,0.0372583,0.0288913,0.000383076838511,7878537.31266699,/case/fea/auto_run_20250819_134544,from simpleFoam.log,0.7754325881541715,True,True,True,0,3.83,1.13,9.617,692.121
