timestamp,aoa_deg,thickness_m,speed_mps,Cd,Cl,max_disp_m,max_stress_Pa,fea_outbase,config_path,config_hash,config_meta,notes
2025-08-19 13:33:42,3.0,0.0025,69.44,0.0378741,0.0210018,0.00032965036724300214,6848799.819870325,/case/fea/auto_run_20250819_133342,,,,from simpleFoam.log
2025-08-19 13:33:44,3.0,0.003,69.44,0.0378741,0.0210018,0.00022930488351464114,5535417.309975251,/case/fea/auto_run_20250819_133344,,,,from simpleFoam.log
2025-08-19 13:33:45,6.0,0.002,69.44,0.0372583,0.0288913,0.0005923770870562427,10141579.013929192,/case/fea/auto_run_20250819_133345,,,,from simpleFoam.log
2025-08-19 13:33:47,6.0,0.0025,69.44,0.0372583,0.0288913,0.00038307683851108315,7878537.31266699,/case/fea/auto_run_20250819_133347,,,,from simpleFoam.log
2025-08-19 13:33:48,6.0,0.003,69.44,0.0372583,0.0288913,0.00026675361122507847,6365598.883633985,/case/fea/auto_run_20250819_133348,,,,from simpleFoam.log
2025-08-19 13:33:50,9.0,0.002,69.44,0.0364894,0.0369534,0.0006755135611662001,11486038.807183268,/case/fea/auto_run_20250819_133349,,,,from simpleFoam.log
2025-08-19 13:33:51,9.0,0.0025,69.44,0.0364894,0.0369534,0.00043721648448637304,8920894.27521249,/case/fea/auto_run_20250819_133351,,,,from simpleFoam.log
2025-08-19 13:33:53,9.0,0.003,69.44,0.0364894,0.0369534,0.0003047063146739676,7205914.474401496,/case/fea/auto_run_20250819_133352,,,,from simpleFoam.log
2025-08-19 13:41:13,6.0,0.003,69.44,0.0372583,0.0288913,0.00026675361122507847,6365598.883633985,/case/fea/auto_run_20250819_134113,,,,from simpleFoam.log
2025-08-19 13:45:33,0.0,0.002,69.44,0.0383373,0.0131553,0.0004296643050485553,7477044.480870418,/case/fea/auto_run_20250819_134533,,,,from simpleFoam.log
2025-08-19 13:45:34,0.0,0.0025,69.44,0.0383373,0.0131553,0.00027595150735554546,5812563.364325619,/case/fea/auto_run_20250819_134534,,,,from simpleFoam.log
2025-08-19 13:45:36,0.0,0.003,69.44,0.0383373,0.0131553,0.00019166938083669288,4699943.335719754,/case/fea/auto_run_20250819_134536,,,,from simpleFoam.log
2025-08-19 13:45:38,3.0,0.002,69.44,0.0378741,0.0210018,0.0005103260925492537,8813462.221235875,/case/fea/auto_run_20250819_134537,,,,from simpleFoam.log
2025-08-19 13:45:39,3.0,0.0025,69.44,0.0378741,0.0210018,0.00032965036724300214,6848799.819870325,/case/fea/auto_run_20250819_134539,,,,from simpleFoam.log
2025-08-19 13:45:41,3.0,0.003,69.44,0.0378741,0.0210018,0.00022930488351464114,5535417.309975251,/case/fea/auto_run_20250819_134540,,,,from simpleFoam.log
2025-08-19 13:45:42,6.0,0.002,69.44,0.0372583,0.0288913,0.0005923770870562427,10141579.013929192,/case/fea/auto_run_20250819_134542,,,,from simpleFoam.log
2025-08-19 13:45:44,6.0,0.0025,69.44,0.0372583,0.0288913,0.00038307683851108315,7878537.31266699,/case/fea/auto_run_20250819_134544,,,,from simpleFoam.log
2025-08-19 13:45:45,6.0,0.003,69.44,0.0372583,0.0288913,0.00026675361122507847,6365598.883633985,/case/fea/auto_run_20250819_134545,,,,from simpleFoam.log
2025-08-19 13:45:47,9.0,0.002,69.44,0.0364894,0.0369534,0.0006755135611662001,11486038.807183268,/case/fea/auto_run_20250819_134547,,,,from simpleFoam.log
2025-08-19 13:45:48,9.0,0.0025,69.44,0.0364894,0.0369534,0.00043721648448637304,8920894.27521249,/case/fea/auto_run_20250819_134548,,,,from simpleFoam.log
2025-08-19 13:45:50,9.0,0.003,69.44,0.0364894,0.0369534,0.0003047063146739676,7205914.474401496,/case/fea/auto_run_20250819_134550,,,,from simpleFoam.log
2025-08-19 13:58:07,12.0,0.0025,50.0,0.0184892,0.0234634,0.00025525350735940963,5174812.450599756,/case/fea/auto_run_20250819_135807,,,,from simpleFoam.log
2025-08-19 13:58:08,12.0,0.0025,80.0,0.0471907,0.0600673,0.0006535348407633678,13249140.329475306,/case/fea/auto_run_20250819_135808,,,,from simpleFoam.log
2025-08-19 13:58:10,12.0,0.0025,100.0,0.0736562,0.0938574,0.0010212176262752635,20703124.758826625,/case/fea/auto_run_20250819_135810,,,,from simpleFoam.log
2025-08-19 14:00:31,12.0,0.0015,100.0,0.0736562,0.0938574,0.002724067273737565,36435744.07831652,/case/fea/auto_run_20250819_140031,,,,from simpleFoam.log
2025-08-19 14:00:33,12.0,0.002,100.0,0.0736562,0.0938574,0.0015767263252272166,26661366.29694238,/case/fea/auto_run_20250819_140033,,,,from simpleFoam.log
2025-08-19 14:00:35,12.0,0.0025,100.0,0.0736562,0.0938574,0.0010212176262752635,20703124.758826625,/case/fea/auto_run_20250819_140035,,,,from simpleFoam.log
2025-08-19 14:00:37,12.0,0.003,100.0,0.0736562,0.0938574,0.0007121808959385717,16719477.581601316,/case/fea/auto_run_20250819_140037,,,,from simpleFoam.log
2025-08-19 15:12:35,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113124,9981825.298008025,/case/fea/auto_run_20250819_151235,/racewing-opt/config/refs.yaml,none,,config-stamp | from simpleFoam.log
2025-08-19 15:27:12,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113124,9981825.298008025,/case/fea/auto_run_20250819_152712,/racewing-opt/config/refs.yaml,none,{},config-auto | from simpleFoam.log
2025-08-19 15:42:17,12.0,0.0025,69.44,0.0355826,0.0452557,0.0004923681158113124,9981825.298008025,/case/fea/auto_run_20250819_154217,/racewing-opt/config/refs.yaml,none,{},sanity-after-patch | from simpleFoam.log
2025-08-20 20:46:53,4.0,0.0025,69.44,0.0376862,0.0236136,0.00034739531308973336,7190989.077925158,/case/fea/auto_run_20250820_204653,/racewing-opt/config/refs.yaml,none,{},from simpleFoam.log
2025-08-20 20:46:55,5.0,0.0025,69.44,0.0374795,0.0262343,0.0003651250652076466,7532707.99079136,/case/fea/auto_run_20250820_204655,/racewing-opt/config/refs.yaml,none,{},from simpleFoam.log
2025-08-20 20:46:57,7.0,0.0025,69.44,0.0370192,0.0315613,0.0004010597157923032,8224860.039557694,/case/fea/auto_run_20250820_204656,/racewing-opt/config/refs.yaml,none,{},from simpleFoam.log
2025-08-20 20:46:58,8.0,0.0025,69.44,0.0367621,0.0342451,0.000419092791405971,8572076.81428538,/case/fea/auto_run_20250820_204658,/racewing-opt/config/refs.yaml,none,{},from simpleFoam.log
2025-08-20 20:47:00,10.0,0.0025,69.44,0.0362006,0.0396861,0.0004554246853966554,9271202.904901553,/case/fea/auto_run_20250820_204659,/racewing-opt/config/refs.yaml,none,{},from simpleFoam.log
2025-08-20 20:47:01,11.0,0.0025,69.44,0.0358965,0.0424504,0.0004738212007628064,9625127.247615587,/case/fea/auto_run_20250820_204701,/racewing-opt/config/refs.yaml,none,{},from simpleFoam.log
2025-08-20 20:47:03,13.0,0.0025,69.44,0.0352596,0.0481143,0.0005112874661152824,10345651.51148027,/case/fea/auto_run_20250820_204703,/racewing-opt/config/refs.yaml,none,{},from simpleFoam.log
2025-08-20 20:47:04,14.0,0.0025,69.44,0.0349232,0.0510296,0.0005304668195096514,10714378.546263522,/case/fea/auto_run_20250820_204704,/racewing-opt/config/refs.yaml,none,{},from simpleFoam.log
